#,Date Posted,Time Posted,Author,Post Text,Retweets,Favorites,Source,Overall Sentiment,Postive,Neutral,Negative
515,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
516,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
517,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
518,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
519,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
520,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
521,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
522,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
523,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
524,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
525,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
526,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
527,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
528,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
529,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
530,10/3/2022,5:09 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
531,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
532,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
533,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
534,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
535,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
536,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
537,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
538,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
539,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
540,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
541,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
542,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
543,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
544,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
545,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
546,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
547,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
548,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
549,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
550,10/3/2022,5:08 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
551,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
552,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
553,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
554,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
555,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
556,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
557,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
558,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
559,10/3/2022,5:07 PM,@Alima1000,RT @Alima1000: Dr K Andrews Racism is about power. It is about structures. And that is how we have to analyse it. It's in terms of numbers…,4,1,Twitter for iPhone,Neutral,25%,50.10%,25%
